year,enterprise_adoption,consumer_adoption,token_volume_index,price_index,price_decline,compute_per_token_index,training_compute_index,compute_demand_index,compute_capacity_index,utilization,overcapacity_ratio,allowed_capacity_growth,global_capacity_capex_bn,token_growth,net_productivity_benefit_ratio,enterprise_roi,governance_cost_ratio,actual_cloud_demand_index,monetized_ai_spend_index,adoption_index,onsite_energy_mwh,onsite_fuel_cost_bn,onsite_carbon_cost_bn,onsite_grid_services_revenue_bn,onsite_grid_equivalent_cost_bn,onsite_net_delta_vs_grid_bn,onsite_power_growth_bonus
2026,0.18,0.35,1.0,1.0,0.0,1.0,0.18,1.18,1.25,0.944,0.0,0.0,75.0,0.0,0.0,0.0,0.0,1.18,1.0,0.23099999999999998,43512672.0,1.74028931664,0.0,0.2227288,2.23350545376,-0.71594493712,0.056
2027,0.19058492823533255,0.3987595202060765,1.5840522780142934,0.7823274082222497,0.2176725917777503,0.75,0.23059309167030162,1.4186323001810217,1.5024305555555557,0.9442248727805274,0.0,0.28194444444444444,150.39444444444445,0.5840522780142934,-0.020731582499999998,-0.9125820402773193,0.005467500000000001,1.1098349306209871,1.2392475131474727,0.2530373058265557,43512672.0,1.74028931664,0.0,0.2227288,2.23350545376,-0.71594493712,0.056
2028,0.20190653677957415,0.44902082042780744,2.5191870849729443,0.6106210714449678,0.2194814280730174,0.5625,0.3117564045462284,1.7287991398435096,1.8244287405303032,0.9475838115447595,0.0,0.2943181818181818,187.60713762626264,0.5903433996073032,-0.01694747222707532,-0.8937292098191943,0.005467500000000001,1.0556411830843826,1.5382687169965044,0.2760408218740441,43512672.0,1.74028931664,0.0,0.2227288,2.23350545376,-0.71594493712,0.056
2029,0.21404578922989984,0.49941175445756353,4.017861054507085,0.4757408906498914,0.2208901511962194,0.421875,0.4222725048726539,2.1173076372428303,2.2310658386600384,0.9490117237035325,0.0,0.30288461538461536,233.56617417613637,0.5949037999098176,-0.013954243576449855,-0.8721013342171542,0.005467500000000001,1.0072898211217212,1.9114607965787125,0.29965557879819893,43512672.0,1.74028931664,0.0,0.2227288,2.23350545376,-0.71594493712,0.056
2030,0.2270872995598679,0.548489054570718,6.419844871820675,0.3701324710730576,0.2219872658676999,0.31640625,0.5726470891423044,2.603926130616815,2.7423517600196305,0.9495230220204046,0.0,0.30916666666666665,290.7822476386916,0.5978265013965913,-0.01159400604655553,-0.847885059354903,0.005467500000000001,0.963797613216907,2.376193046312683,0.3235078260631229,43512672.0,1.74028931664,0.0,0.2227288,2.23350545376,-0.71594493712,0.056
2031,0.24111483391707225,0.5948988079338461,10.267308896886092,0.28765152212978706,0.22284169963296804,0.2373046875,0.7770391822969749,3.213519711538499,3.3839814144595177,0.9496268796889228,0.0,0.3139705882352941,362.26789379478146,0.599307943086524,-0.009736212444114323,-0.8214628943365421,0.005467500000000001,0.9243738364181235,2.9534070323659893,0.34725002612210437,43512672.0,1.74028931664,0.0,0.2227288,2.23350545376,-0.71594493712,0.056
2032,0.25620576614910173,0.6375266568856757,16.424024876263818,0.2233593550238721,0.22350713331844155,0.177978515625,1.054527346605685,3.9776509146711936,4.188567521818511,0.9496446921176179,0.0,0.31776315789473686,451.7508325732473,0.5996426172826024,-0.0082746422164378,-0.7933890538106472,0.005467500000000001,0.8884455428110728,3.6684596032583174,0.3706020333700739,43512672.0,1.74028931664,0.0,0.2227288,2.23350545376,-0.71594493712,0.056
2033,0.27242513418008457,0.6756026816352162,26.265077783135215,0.17332119206898555,0.22402537359377037,0.13348388671875,1.4308439111208435,4.9368085785840226,5.197314199989803,0.9498768765208978,0.0,0.3208333333333333,563.8928835706868,0.5991864345684106,-0.007123889110804908,-0.7643289724547278,0.005467500000000001,0.8556535478565769,4.552294591157624,0.39337839841662403,43512672.0,1.74028931664,0.0,0.2227288,2.23350545376,-0.71594493712,0.056
2034,0.2898200706507804,0.7087403537740974,41.9795331397465,0.13442289380271058,0.22442897952601562,0.1001129150390625,1.9407542829903242,6.143447717589273,6.4621822971394955,0.950676943964996,0.0,0.3233695652173913,704.5479129506176,0.5983022584727133,-0.0062158984391744755,-0.7349751545996197,0.005467500000000001,0.8258200201240076,5.643010325131513,0.4154961555877755,43512672.0,1.74028931664,0.0,0.2227288,2.23350545376,-0.71594493712,0.056
2035,0.3084152675839421,0.7369102017653463,67.05418785356393,0.10421224795945516,0.22474330814210047,0.07508468627929688,2.631315656453652,7.666058315151539,8.048648051087241,0.9524653415695049,0.0,0.3255,881.0797831211873,0.5973066596606952,-0.0054968210153091696,-0.7059610601871197,0.005467500000000001,0.7988971700102152,6.987867651315491,0.43696374783836334,43512672.0,1.74028931664,0.0,0.2227288,2.23350545376,-0.71594493712,0.056
