sector,horizon_years,endpoint_label_highest_probability_weighted,endpoint_label_final_weighted,endpoint_label_short,endpoint_degree_index_weighted,endpoint_cell_weighted,weighted_value_ratio_vs_start,weighted_revenue_cagr,weighted_fcf_margin,weighted_prob_complete_severe_crash,weighted_prob_severe_crash,weighted_prob_moderate_crash,weighted_prob_valuation_deflation,weighted_prob_prolonged_stagnation,weighted_prob_resilient_compounding,weighted_prob_booming_expansion
ai_cloud_rental,5,severe_crash,severe_crash,severe crash,-69.16885410429829,severe crash (-69),0.9020043155039378,-0.06917941451624615,-0.4447584284519097,0.3596754351361775,0.5209391712234944,0.005483050850818713,0.0014491906825434154,3.3297647727247465e-05,0.004043726348477332,0.10837612811076144
ai_cloud_rental,10,severe_crash,moderate_crash,moderate crash,-57.66580841788844,moderate crash (-58),1.1884684941207417,-0.08714457632259179,5.920316114887506,0.37324867033157016,0.4372402267128835,0.003605918142651993,7.297868769460145e-05,2.000069636900145e-06,0.0006219948246122612,0.18520821123095063
ai_cloud_rental,20,complete_severe_crash,moderate_crash,moderate crash,-56.5586232440585,moderate crash (-57),2.5217748625426983,-0.08134391523469398,-230.49550623951453,0.42357983673805816,0.37684890818587846,0.00012126978092655245,7.074750951699438e-08,1.6002469012264293e-08,4.549316347523145e-05,0.19940440538168316
ai_semiconductors,5,booming_expansion,resilient_compounding,resilient,52.48875347583785,resilient (+52),6.196540501538,0.2664358512598427,0.7522829880538673,0.10000166870395465,0.0013016906927708443,0.00549244342250918,0.04559734433814278,0.0004581814639285682,0.0830404469321993,0.7641082244464947
ai_semiconductors,10,booming_expansion,resilient_compounding,resilient,44.9993327027286,resilient (+45),17.07272601102896,0.1935338310685653,26.858498429465318,0.10000616892376592,0.0036397148629901724,0.01760040834533691,0.09386267266421988,0.00952738313330032,0.07607502457527812,0.6992886274951087
ai_semiconductors,20,booming_expansion,resilient_compounding,resilient,21.809526075585488,resilient (+22),52.31917495022372,0.11706096885163961,21.011291690874593,0.11723156163757645,0.22708305837519158,0.005559412867159869,3.5570171111355434e-06,3.902416248651847e-06,9.549049904351145e-05,0.6500230171876688
datacenter_power_cooling,5,booming_expansion,resilient_compounding,resilient,40.93579021055673,resilient (+41),3.194969560011881,0.268734941995453,-0.13732348551504636,0.09997414286560823,0.012401416281129111,0.02933374189065858,0.1275985933703161,0.0004944775153427089,0.03749270685119152,0.6927049212257538
datacenter_power_cooling,10,booming_expansion,resilient_compounding,resilient,37.45436185956568,resilient (+37),7.422724339214866,0.2074789818278125,-0.0023581049411075805,0.10002743443560559,0.011676337536306659,0.03615521703946896,0.15223117286528284,0.006306025423697355,0.02895058780305441,0.6646532248965842
datacenter_power_cooling,20,booming_expansion,resilient_compounding,resilient,25.09828595438175,resilient (+25),18.804785354216815,0.14302569470067836,-0.11922488349667497,0.10065080382527385,0.15467136761366457,0.07775355316324681,0.011020392380599379,0.0038689424002574515,0.0016392059969060652,0.650395734620052
enterprise_ai_software,5,booming_expansion,resilient_compounding,resilient,22.44798735643309,resilient (+22),2.2316531314402455,0.06216019069790368,0.2326012748784992,0.1003336196263946,0.07378479453361782,0.15033660500053375,0.013875966952130668,0.008104012717552447,0.11745899473304591,0.5361060064367248
