path,aggregate_fair_value_to_market,aggregate_market_to_fair_value,revenue_cagr_10y,fcf_margin10,capex_to_revenue5,avg_overcapacity_5y,terminal_enterprise_adoption,terminal_token_volume_index,terminal_compute_utilization,price_target_ratio_5y_vs_market0,price_target_ratio_10y_vs_market0,prob_rapid_dotcom_style_burst,prob_gradual_valuation_deflation,prob_japan_style_prolonged_stagnation,prob_productivity_led_expansion
0,0.2856087830120097,3.501292885513085,0.1298746701404998,0.07078045442321544,0.23704127029318395,0.0,0.5226116809538782,6321.029882505265,1.0,2.1370606272720973,3.198487535519037,0.9417959595395713,0.040418314779906664,0.008292051908712749,0.00949367377180928
1,0.08165579223623722,12.246528661517534,0.13634480896700452,0.006786909498098207,0.26264434242249846,0.0,0.5187994753858814,12055.727297408597,1.0,1.7152669365594877,2.558649219591745,0.9989171157147704,0.0009216183923082498,8.877296023097115e-05,7.249293269030037e-05
2,0.283749922996845,3.524230031283987,0.04667139395785114,0.155060316174969,0.18737789827207452,0.0,0.6241425228816347,119166.80831980184,1.0,1.3768116974169442,1.6571901571361105,0.9405946495279149,0.04017434966192937,0.008651795396852782,0.010579205413302815
3,0.23228716784045247,4.305016111293994,0.07691267648456002,0.10927099481455121,0.2061598381031291,0.0,0.49191211204775137,1489.7246418717732,1.0,3.0875592447036238,4.35611176583009,0.9827614609317059,0.013529371790009306,0.0018573212631581642,0.0018518460151267224
4,0.1521400952387314,6.572889273079822,0.1193530347337628,0.03000261646256059,0.2425224779352615,0.0,0.4927383370351671,5863.449243218042,1.0,1.9958206855577274,2.613491531443234,0.99891545005402,0.000905389756351288,9.441104827914521e-05,8.474914134924065e-05
5,0.22940182523516905,4.359163223635469,0.2044979320420175,-0.0067702839515633014,0.2780214676934907,0.0,0.5039010335825206,354965.63511500397,1.0,4.592634679739208,9.02892899198914,0.9853250432911015,0.011112060661378601,0.001859950571155036,0.0017029454763648982
6,0.2099225986716794,4.763660541207418,0.06458939451842083,0.12652286582654923,0.1872735863096149,0.0,0.6073932606419081,583704.4926572371,1.0,0.36197733817802047,0.2850400730654368,0.9913432019272771,0.006786179645497209,0.0008275728620485369,0.0010430455651773193
7,-1.5523971843273774,10.0,0.20435786105088316,-0.16670694201327854,0.2903830812826993,0.6378947713692786,0.5817057609091035,52582.151824541186,0.5622327444436063,6.714000621897261,7.860374832989017,0.9994367675589861,0.0004539794543908131,8.108535150612193e-05,2.8167635116966777e-05
8,-0.37501886445786103,10.0,0.1803782193273611,-0.08558237256415942,0.3202012752758304,0.1855821721792532,0.42773702896019367,19684.168613066286,0.7240540199649173,5.87063514206,5.020378001470813,0.9992028815518328,0.0006366625249680555,9.393834019978755e-05,6.65175829994076e-05
9,0.4347422750338416,2.300213384866142,0.16399803494104304,0.08618821031310747,0.19737803161641188,0.0,0.546915199333655,45913.38592039512,1.0,3.1755991495835434,4.8588956945247475,0.6847549690013633,0.19980019868902493,0.05254377910585683,0.06290105320375496
10,0.5608540413157301,1.7829950866611564,0.12296422684228014,0.03815952142501328,0.23698075923231343,0.014823678232835124,0.5402965867273753,5909.261022493774,0.8283093157749474,0.9290352040945444,1.9005646420445033,0.498368398509286,0.29855981081762983,0.10104213282375257,0.10202965784933153
11,-0.15937671600098496,10.0,0.24043368659333386,-0.019008587816581907,0.291995212835957,0.057378468318817696,0.5018610245185493,56131.346762067085,0.7903467696334374,3.1191086944365907,4.611124346211134,0.999004785223357,0.0008145616201058013,9.245544191763784e-05,8.819771461961253e-05
12,0.45867866374519456,2.180175532549996,0.097786810110577,0.030134851221955937,0.23212720603689244,0.1653513822857431,0.46494535961096,2117.7623943486187,0.7229299568394069,0.8563035240248096,2.369719717207568,0.6925049913832703,0.1803450025309188,0.06838742890604682,0.05876257717976407
13,1.451707244741118,0.6888441203435127,0.20841810424376028,0.06434878768921899,0.22017887141107054,0.0,0.4918484408046695,99027.46555697845,1.0,3.6368745750358995,8.17202203110474,0.20281659550193729,0.41395861935748485,0.1659702191219426,0.21725456601863535
14,0.1302635336176353,7.676745534443405,-0.12475655353354276,0.3991650914760067,0.29437623499847254,0.2387923397120014,0.5323943322688598,34.96062169298643,0.7794926835144105,0.24355941632340342,0.1580346503070287,0.9990961654651677,0.0007097191148787823,0.00010935858735937081,8.475683259432565e-05
15,0.14783484716196676,6.764305028194113,0.023478719451649477,0.06956142643815526,0.2392667094886391,0.11685813983848585,0.5195430046506078,577.3184958773977,0.7530554406095331,0.5890587829160642,0.6753975806683471,0.9990102134061768,0.0008615845017657551,7.848448073328048e-05,4.9717611323917464e-05
16,0.21342866021523133,4.685406350728875,0.10091943243432322,0.05258113577574923,0.23033004988444974,0.0,0.42773702896019367,37088955.77812759,1.0,1.2566294266778328,1.2595325296598066,0.9911004868411771,0.007640725381025701,0.0007077510077263032,0.0005510367700709181
17,0.17225677566168157,5.805286881510168,0.025795679042084796,0.11431924485343783,0.20947983754822525,0.0,0.6232258405500164,12858.246926097252,1.0,0.646321408093431,0.670720209103594,0.9983671899500505,0.0014294592885758129,0.00011451943372126492,8.883132765245186e-05
18,0.17161852244120737,5.82687687654797,0.01655577859570423,0.14274557742752783,0.1878013917540343,0.0,0.5476850859114838,80355.36268485844,1.0,0.48409731803753636,0.4806090604581957,0.9984501550580941,0.0012690024186160268,0.00011946241195423909,0.00016138011133574128
19,0.19250260703000613,5.1947348424435935,0.06988413985530006,0.0655422074218312,0.2335650222165315,0.0,0.4941873935575382,2182.0771929046514,1.0,1.359936496757963,2.683272697222821,0.9960580819126645,0.0028421636351094637,0.0005000122181850427,0.0005997422340409505
